;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;price;security_deposit;cleaning_fee;extra_people;minimum_nights;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes;n_amenities
3;t;1.0;-22.98302;-43.21427;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;342.0;$0.00;$105.00;53.0;2;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;26
4;f;1.0;-22.98816;-43.19359;Apartment;Entire home/apt;2;1.5;1.0;1.0;Real Bed;479.0;$1,329.00;$218.00;0.0;2;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;34
5;t;1.0;-22.98127;-43.19046;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;132.0;$400.00;$140.00;80.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;31
12;t;2.0;-22.98208;-43.19226;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;137.0;$400.00;$135.00;75.0;3;95.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;38
17;t;3.0;-22.98282;-43.19571;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;148.0;$0.00;$50.00;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;23
19;t;5.0;-22.9854;-43.19602;Apartment;Entire home/apt;6;2.0;1.0;5.0;Real Bed;479.0;$550.00;$140.00;27.0;2;95.0;10.0;9.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;46
22;f;1.0;-22.98027;-43.19255;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;165.0;$2,127.00;$266.00;106.0;3;85.0;9.0;8.0;10.0;10.0;9.0;8.0;f;f;strict_14_with_grace_period;2020;4;30
27;f;3.0;-22.91431;-43.18884;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;74.0;$0.00;$150.00;25.0;2;94.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;20
28;t;8.0;-22.97629;-43.23145;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;158.0;$0.00;$180.00;25.0;4;94.0;9.0;9.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;30
29;f;2.0;-22.92519;-43.19118;Apartment;Private room;2;2.0;1.0;0.0;Real Bed;106.0;$1,063.00;$160.00;58.0;2;95.0;9.0;7.0;10.0;10.0;9.0;8.0;t;f;moderate;2020;4;20
30;f;4.0;-22.96925;-43.18283;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;342.0;$0.00;$211.00;0.0;3;94.0;10.0;8.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;16
31;f;6.0;-22.98549;-43.19295;Apartment;Entire home/apt;4;1.0;1.0;3.0;Outros;149.0;$0.00;$0.00;90.0;2;100.0;10.0;8.0;10.0;10.0;10.0;6.0;t;f;strict_14_with_grace_period;2020;4;36
32;f;7.0;-22.98361;-43.21827;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;229.0;$0.00;$150.00;30.0;2;93.0;9.0;9.0;10.0;9.0;10.0;9.0;t;f;moderate;2020;4;37
34;f;1.0;-22.88756;-43.59413;Outros;Entire home/apt;8;1.0;1.0;2.0;Real Bed;170.0;$0.00;$0.00;50.0;1;91.0;10.0;9.0;10.0;10.0;9.0;10.0;f;f;moderate;2020;4;45
35;f;4.0;-22.98386;-43.21383;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;300.0;$0.00;$70.00;0.0;2;89.0;9.0;8.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;20
36;f;7.0;-22.977;-43.19041;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;169.0;$0.00;$150.00;31.0;2;91.0;10.0;10.0;10.0;9.0;10.0;9.0;t;f;moderate;2020;4;35
37;f;7.0;-22.97456;-43.18807;Apartment;Entire home/apt;3;1.0;1.0;3.0;Real Bed;128.0;$0.00;$150.00;20.0;2;93.0;9.0;10.0;10.0;9.0;10.0;9.0;t;f;moderate;2020;4;27
38;f;3.0;-22.98668;-43.22171;Apartment;Entire home/apt;4;2.0;3.0;3.0;Real Bed;484.0;$1,000.00;$300.00;200.0;2;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;30
39;f;7.0;-22.97607;-43.18926;Apartment;Entire home/apt;4;1.0;1.0;4.0;Real Bed;191.0;$0.00;$150.00;30.0;2;95.0;9.0;10.0;10.0;10.0;10.0;9.0;t;f;moderate;2020;4;16
41;t;1.0;-22.9827;-43.2004;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;211.0;$527.00;$79.00;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;33
46;f;2.0;-23.01159;-43.36925;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;229.0;$859.00;$346.00;58.0;4;96.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;43
48;f;8.0;-22.94169;-43.18703;House;Private room;2;1.0;1.0;2.0;Real Bed;111.0;$418.00;$50.00;88.0;2;98.0;9.0;9.0;10.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;31
49;f;4.0;-22.91408;-43.18233;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;132.0;$750.00;$85.00;45.0;2;91.0;9.0;9.0;10.0;10.0;9.0;9.0;t;f;moderate;2020;4;26
50;f;1.0;-22.98857;-43.22716;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;229.0;$0.00;$288.00;87.0;3;95.0;9.0;9.0;10.0;10.0;9.0;10.0;t;f;flexible;2020;4;35
55;f;1.0;-22.98322;-43.19087;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;237.0;$527.00;$184.00;0.0;3;92.0;9.0;9.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;25
56;f;1.0;-22.92002;-43.18005;Apartment;Entire home/apt;5;2.0;2.0;0.0;Real Bed;227.0;$2,004.00;$172.00;86.0;3;97.0;10.0;10.0;10.0;9.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;21
61;t;1.0;-22.97;-43.18823;Apartment;Entire home/apt;2;1.0;0.0;1.0;Outros;279.0;$515.00;$57.00;0.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;25
63;f;2.0;-22.89338;-43.35748;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;122.0;$0.00;$0.00;50.0;1;95.0;9.0;10.0;10.0;9.0;8.0;9.0;t;f;moderate;2020;4;35
65;f;4.0;-22.96995;-43.18879;Condominium;Entire home/apt;4;2.0;2.0;2.0;Real Bed;501.0;$6,000.00;$200.00;140.0;2;91.0;9.0;10.0;9.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;36
67;f;4.0;-22.98468;-43.18926;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;158.0;$0.00;$150.00;0.0;2;93.0;9.0;8.0;10.0;10.0;10.0;8.0;f;f;strict_14_with_grace_period;2020;4;9
70;f;2.0;-22.91949;-43.22558;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;133.0;$532.00;$53.00;53.0;1;80.0;10.0;8.0;10.0;10.0;9.0;9.0;f;f;moderate;2020;4;26
72;t;1.0;-22.98002;-43.22371;Apartment;Entire home/apt;4;1.0;2.0;3.0;Outros;242.0;$376.00;$170.00;0.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;flexible;2020;4;28
76;f;3.0;-22.98333;-43.19172;Apartment;Entire home/apt;4;2.0;1.0;2.0;Real Bed;132.0;$239.00;$100.00;0.0;2;90.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;33
79;t;4.0;-22.96148;-43.20038;House;Private room;2;1.5;1.0;1.0;Real Bed;266.0;$532.00;$160.00;0.0;2;99.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;37
80;f;4.0;-22.96403;-43.40829;House;Private room;9;1.5;3.0;5.0;Real Bed;142.0;$500.00;$200.00;120.0;2;100.0;10.0;10.0;10.0;10.0;9.0;10.0;f;f;moderate;2020;4;34
81;f;10.0;-22.97854;-43.1904;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;126.0;$600.00;$130.00;50.0;2;92.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;32
82;f;2.0;-22.98249;-43.19222;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;258.0;$0.00;$0.00;115.0;3;93.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;moderate;2020;4;28
84;f;10.0;-22.9869;-43.19286;Apartment;Entire home/apt;5;1.0;1.0;2.0;Real Bed;153.0;$950.00;$160.00;50.0;2;95.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;33
86;f;10.0;-22.97064;-43.18496;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;132.0;$600.00;$140.00;50.0;1;95.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;33
87;f;10.0;-22.97135;-43.18779;Apartment;Entire home/apt;4;1.0;0.0;4.0;Real Bed;126.0;$600.00;$140.00;50.0;1;94.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;30
88;f;1.0;-22.99442;-43.23544;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;409.0;$877.00;$319.00;319.0;3;60.0;6.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;10
89;f;10.0;-22.98114;-43.19429;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;111.0;$550.00;$130.00;50.0;2;84.0;9.0;8.0;9.0;9.0;9.0;8.0;f;f;moderate;2020;4;31
90;t;2.0;-22.9626;-43.17704;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;100.0;$480.00;$160.00;0.0;1;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;24
91;t;2.0;-22.98015;-43.19098;Apartment;Entire home/apt;5;1.5;2.0;2.0;Real Bed;606.0;$2,635.00;$711.00;0.0;3;99.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;2020;4;40
94;t;4.0;-22.98026;-43.19109;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;248.0;$1,831.00;$228.00;30.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;30
95;t;4.0;-22.97858;-43.19075;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;526.0;$1,771.00;$219.00;26.0;3;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;2020;4;35
99;t;2.0;-22.94879;-43.18147;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;121.0;$600.00;$100.00;35.0;3;95.0;9.0;9.0;10.0;10.0;9.0;9.0;t;f;strict_14_with_grace_period;2020;4;30
101;t;2.0;-22.95348;-43.18751;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;63.0;$0.00;$0.00;150.0;1;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;flexible;2020;4;25
104;t;3.0;-22.98597;-43.19591;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;79.0;$470.00;$100.00;60.0;3;95.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;33
106;f;1.0;-22.98297;-43.19388;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;179.0;$350.00;$120.00;25.0;2;96.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;27
112;t;4.0;-22.96536;-43.17979;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;300.0;$616.00;$190.00;0.0;3;96.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;32
120;f;5.0;-22.94344;-43.19245;Apartment;Private room;3;1.0;1.0;1.0;Real Bed;191.0;$500.00;$100.00;110.0;4;99.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;flexible;2020;4;16
121;f;2.0;-22.9167;-43.17962;Loft;Entire home/apt;4;1.0;1.0;2.0;Outros;169.0;$0.00;$100.00;0.0;2;96.0;10.0;9.0;10.0;10.0;10.0;9.0;t;f;moderate;2020;4;25
126;t;6.0;-22.9828;-43.20467;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;100.0;$697.00;$155.00;100.0;1;95.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;49
128;f;4.0;-22.97822;-43.19034;Apartment;Entire home/apt;2;1.0;1.0;0.0;Real Bed;90.0;$407.00;$80.00;0.0;2;90.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;12
