;host_is_superhost;host_listings_count;latitude;longitude;accommodates;bathrooms;bedrooms;beds;price;security_deposit;cleaning_fee;extra_people;minimum_nights;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;ano;mes;n_amenities;property_type_Apartment;property_type_Condominium;property_type_House;property_type_Loft;property_type_Outros;property_type_Serviced apartment;room_type_Entire home/apt;room_type_Hotel room;room_type_Private room;room_type_Shared room;bed_type_Outros;bed_type_Real Bed;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict;cancellation_policy_strict_14_with_grace_period
3;1;1.0;-22.98302;-43.21427;3;1.0;1.0;1.0;342.0;0.0;105.0;53.0;2;96.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;26;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
4;0;1.0;-22.98816;-43.19359;2;1.5;1.0;1.0;479.0;1329.0;218.0;0.0;2;94.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;34;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
5;1;1.0;-22.98127;-43.19046;2;1.0;1.0;1.0;132.0;400.0;140.0;80.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;31;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1
12;1;2.0;-22.98208;-43.19226;2;1.0;0.0;2.0;137.0;400.0;135.0;75.0;3;95.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;38;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
17;1;3.0;-22.98282;-43.19571;2;1.0;0.0;1.0;148.0;0.0;50.0;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;23;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
19;1;5.0;-22.9854;-43.19602;6;2.0;1.0;5.0;479.0;550.0;140.0;27.0;2;95.0;10.0;9.0;10.0;10.0;10.0;10.0;1;0;2020;4;46;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
22;0;1.0;-22.98027;-43.19255;4;1.0;1.0;1.0;165.0;2127.0;266.0;106.0;3;85.0;9.0;8.0;10.0;10.0;9.0;8.0;0;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
27;0;3.0;-22.91431;-43.18884;2;1.0;1.0;2.0;74.0;0.0;150.0;25.0;2;94.0;10.0;9.0;10.0;10.0;9.0;9.0;0;0;2020;4;20;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
28;1;8.0;-22.97629;-43.23145;4;1.0;1.0;2.0;158.0;0.0;180.0;25.0;4;94.0;9.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
29;0;2.0;-22.92519;-43.19118;2;2.0;1.0;0.0;106.0;1063.0;160.0;58.0;2;95.0;9.0;7.0;10.0;10.0;9.0;8.0;1;0;2020;4;20;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
30;0;4.0;-22.96925;-43.18283;5;2.0;2.0;3.0;342.0;0.0;211.0;0.0;3;94.0;10.0;8.0;10.0;10.0;10.0;9.0;0;0;2020;4;16;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
31;0;6.0;-22.98549;-43.19295;4;1.0;1.0;3.0;149.0;0.0;0.0;90.0;2;100.0;10.0;8.0;10.0;10.0;10.0;6.0;1;0;2020;4;36;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
32;0;7.0;-22.98361;-43.21827;4;1.0;1.0;3.0;229.0;0.0;150.0;30.0;2;93.0;9.0;9.0;10.0;9.0;10.0;9.0;1;0;2020;4;37;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
34;0;1.0;-22.88756;-43.59413;8;1.0;1.0;2.0;170.0;0.0;0.0;50.0;1;91.0;10.0;9.0;10.0;10.0;9.0;10.0;0;0;2020;4;45;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
35;0;4.0;-22.98386;-43.21383;2;1.0;1.0;1.0;300.0;0.0;70.0;0.0;2;89.0;9.0;8.0;10.0;9.0;10.0;9.0;0;0;2020;4;20;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
36;0;7.0;-22.977;-43.19041;4;1.0;1.0;1.0;169.0;0.0;150.0;31.0;2;91.0;10.0;10.0;10.0;9.0;10.0;9.0;1;0;2020;4;35;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
37;0;7.0;-22.97456;-43.18807;3;1.0;1.0;3.0;128.0;0.0;150.0;20.0;2;93.0;9.0;10.0;10.0;9.0;10.0;9.0;1;0;2020;4;27;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
38;0;3.0;-22.98668;-43.22171;4;2.0;3.0;3.0;484.0;1000.0;300.0;200.0;2;97.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
39;0;7.0;-22.97607;-43.18926;4;1.0;1.0;4.0;191.0;0.0;150.0;30.0;2;95.0;9.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;16;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
41;1;1.0;-22.9827;-43.2004;2;1.0;1.0;1.0;211.0;527.0;79.0;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;33;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
46;0;2.0;-23.01159;-43.36925;4;1.0;1.0;1.0;229.0;859.0;346.0;58.0;4;96.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;43;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
48;0;8.0;-22.94169;-43.18703;2;1.0;1.0;2.0;111.0;418.0;50.0;88.0;2;98.0;9.0;9.0;10.0;10.0;9.0;9.0;0;0;2020;4;31;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
49;0;4.0;-22.91408;-43.18233;3;1.0;0.0;1.0;132.0;750.0;85.0;45.0;2;91.0;9.0;9.0;10.0;10.0;9.0;9.0;1;0;2020;4;26;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
50;0;1.0;-22.98857;-43.22716;4;1.0;0.0;3.0;229.0;0.0;288.0;87.0;3;95.0;9.0;9.0;10.0;10.0;9.0;10.0;1;0;2020;4;35;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
55;0;1.0;-22.98322;-43.19087;4;1.0;1.0;2.0;237.0;527.0;184.0;0.0;3;92.0;9.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;25;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
56;0;1.0;-22.92002;-43.18005;5;2.0;2.0;0.0;227.0;2004.0;172.0;86.0;3;97.0;10.0;10.0;10.0;9.0;10.0;9.0;0;0;2020;4;21;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
61;1;1.0;-22.97;-43.18823;2;1.0;0.0;1.0;279.0;515.0;57.0;0.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;25;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
63;0;2.0;-22.89338;-43.35748;2;1.0;1.0;1.0;122.0;0.0;0.0;50.0;1;95.0;9.0;10.0;10.0;9.0;8.0;9.0;1;0;2020;4;35;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
65;0;4.0;-22.96995;-43.18879;4;2.0;2.0;2.0;501.0;6000.0;200.0;140.0;2;91.0;9.0;10.0;9.0;10.0;10.0;9.0;0;0;2020;4;36;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
67;0;4.0;-22.98468;-43.18926;2;1.0;1.0;2.0;158.0;0.0;150.0;0.0;2;93.0;9.0;8.0;10.0;10.0;10.0;8.0;0;0;2020;4;9;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
70;0;2.0;-22.91949;-43.22558;2;1.0;1.0;1.0;133.0;532.0;53.0;53.0;1;80.0;10.0;8.0;10.0;10.0;9.0;9.0;0;0;2020;4;26;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
72;1;1.0;-22.98002;-43.22371;4;1.0;2.0;3.0;242.0;376.0;170.0;0.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;28;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
76;0;3.0;-22.98333;-43.19172;4;2.0;1.0;2.0;132.0;239.0;100.0;0.0;2;90.0;9.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;33;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
79;1;4.0;-22.96148;-43.20038;2;1.5;1.0;1.0;266.0;532.0;160.0;0.0;2;99.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;37;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
80;0;4.0;-22.96403;-43.40829;9;1.5;3.0;5.0;142.0;500.0;200.0;120.0;2;100.0;10.0;10.0;10.0;10.0;9.0;10.0;0;0;2020;4;34;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0
81;0;10.0;-22.97854;-43.1904;4;1.0;0.0;2.0;126.0;600.0;130.0;50.0;2;92.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;32;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
82;0;2.0;-22.98249;-43.19222;2;1.0;1.0;2.0;258.0;0.0;0.0;115.0;3;93.0;9.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;28;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
84;0;10.0;-22.9869;-43.19286;5;1.0;1.0;2.0;153.0;950.0;160.0;50.0;2;95.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;33;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
86;0;10.0;-22.97064;-43.18496;3;1.0;0.0;1.0;132.0;600.0;140.0;50.0;1;95.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;33;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
87;0;10.0;-22.97135;-43.18779;4;1.0;0.0;4.0;126.0;600.0;140.0;50.0;1;94.0;9.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
88;0;1.0;-22.99442;-43.23544;2;1.0;1.0;1.0;409.0;877.0;319.0;319.0;3;60.0;6.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;10;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
89;0;10.0;-22.98114;-43.19429;3;1.0;1.0;2.0;111.0;550.0;130.0;50.0;2;84.0;9.0;8.0;9.0;9.0;9.0;8.0;0;0;2020;4;31;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
90;1;2.0;-22.9626;-43.17704;2;1.0;1.0;1.0;100.0;480.0;160.0;0.0;1;96.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;24;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
91;1;2.0;-22.98015;-43.19098;5;1.5;2.0;2.0;606.0;2635.0;711.0;0.0;3;99.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;40;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
94;1;4.0;-22.98026;-43.19109;2;1.0;1.0;1.0;248.0;1831.0;228.0;30.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;30;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
95;1;4.0;-22.97858;-43.19075;2;1.0;1.0;1.0;526.0;1771.0;219.0;26.0;3;96.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;35;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
99;1;2.0;-22.94879;-43.18147;2;1.5;1.0;1.0;121.0;600.0;100.0;35.0;3;95.0;9.0;9.0;10.0;10.0;9.0;9.0;1;0;2020;4;30;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
101;1;2.0;-22.95348;-43.18751;1;1.0;1.0;1.0;63.0;0.0;0.0;150.0;1;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;25;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
104;1;3.0;-22.98597;-43.19591;2;1.5;1.0;1.0;79.0;470.0;100.0;60.0;3;95.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;33;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
106;0;1.0;-22.98297;-43.19388;5;1.0;1.0;3.0;179.0;350.0;120.0;25.0;2;96.0;9.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;27;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
112;1;4.0;-22.96536;-43.17979;2;1.0;1.0;1.0;300.0;616.0;190.0;0.0;3;96.0;10.0;9.0;10.0;10.0;10.0;10.0;0;0;2020;4;32;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
120;0;5.0;-22.94344;-43.19245;3;1.0;1.0;1.0;191.0;500.0;100.0;110.0;4;99.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;16;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0
121;0;2.0;-22.9167;-43.17962;4;1.0;1.0;2.0;169.0;0.0;100.0;0.0;2;96.0;10.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;25;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
126;1;6.0;-22.9828;-43.20467;2;1.0;1.0;1.0;100.0;697.0;155.0;100.0;1;95.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;49;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1
128;0;4.0;-22.97822;-43.19034;2;1.0;1.0;0.0;90.0;407.0;80.0;0.0;2;90.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;12;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
129;1;2.0;-22.96982;-43.38807;2;1.0;1.0;1.0;211.0;0.0;75.0;0.0;2;95.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;32;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
133;1;3.0;-22.96421;-43.17728;6;1.0;2.0;2.0;321.0;600.0;120.0;40.0;2;93.0;10.0;10.0;10.0;10.0;9.0;9.0;1;0;2020;4;38;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
134;0;10.0;-22.96434;-43.17563;4;1.0;1.0;1.0;148.0;900.0;150.0;50.0;2;92.0;9.0;9.0;9.0;10.0;10.0;9.0;0;0;2020;4;36;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
138;0;1.0;-22.96817;-43.17987;4;1.0;1.0;1.0;232.0;0.0;120.0;50.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;18;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
139;1;1.0;-22.98666;-43.19321;3;1.0;1.0;1.0;133.0;700.0;160.0;50.0;2;94.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;29;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
140;1;1.0;-22.98091;-43.19152;4;1.5;2.0;2.0;348.0;1500.0;220.0;200.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;24;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
141;0;1.0;-22.97561;-43.18791;4;2.5;2.0;2.0;659.0;5269.0;132.0;0.0;1;96.0;10.0;9.0;10.0;9.0;10.0;9.0;0;0;2020;4;21;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
143;0;3.0;-22.96911;-43.18836;3;1.0;1.0;1.0;100.0;0.0;0.0;45.0;2;97.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;31;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
145;1;2.0;-22.97725;-43.19039;4;1.0;1.0;4.0;174.0;350.0;110.0;25.0;4;97.0;10.0;10.0;10.0;10.0;9.0;10.0;0;0;2020;4;19;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
150;0;1.0;-22.95349;-43.18113;2;1.0;1.0;1.0;248.0;1000.0;300.0;80.0;1;100.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;17;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
152;1;2.0;-22.96404;-43.17499;2;1.0;1.0;1.0;100.0;480.0;162.0;30.0;1;95.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
156;0;3.0;-22.96717;-43.18776;2;1.0;1.0;1.0;279.0;0.0;132.0;79.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;22;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
160;1;5.0;-22.97542;-43.19857;8;2.0;2.0;7.0;400.0;550.0;120.0;27.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;40;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
164;0;1.0;-22.91406;-43.18951;4;1.0;1.0;2.0;126.0;0.0;60.0;100.0;4;60.0;8.0;2.0;8.0;10.0;8.0;6.0;1;0;2020;4;19;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
171;0;8.0;-22.94265;-43.18768;2;2.0;1.0;1.0;68.0;1000.0;100.0;50.0;3;92.0;10.0;9.0;9.0;10.0;9.0;9.0;0;0;2020;4;30;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
172;0;4.0;-22.91574;-43.18425;2;1.0;0.0;4.0;227.0;859.0;115.0;0.0;3;93.0;10.0;8.0;9.0;10.0;9.0;9.0;0;0;2020;4;12;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
174;0;2.0;-22.93663;-43.1766;2;1.0;1.0;1.0;342.0;527.0;263.0;158.0;2;93.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;20;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
176;0;2.0;-22.96207;-43.17469;4;1.0;1.0;2.0;258.0;1054.0;474.0;184.0;1;89.0;8.0;9.0;10.0;9.0;9.0;8.0;0;0;2020;4;22;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
178;0;4.0;-22.9966;-43.26965;2;1.0;1.0;1.0;106.0;0.0;20.0;40.0;1;96.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;30;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0
179;1;2.0;-22.91411;-43.18577;5;1.0;1.0;1.0;316.0;656.0;164.0;53.0;2;100.0;8.0;5.0;6.0;7.0;9.0;6.0;0;0;2020;4;18;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0
181;0;10.0;-22.96333;-43.17483;2;1.0;1.0;1.0;101.0;0.0;0.0;20.0;2;93.0;9.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;29;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
184;0;1.0;-22.98296;-43.21259;4;1.0;1.0;3.0;308.0;800.0;190.0;41.0;2;95.0;10.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;32;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
189;0;4.0;-22.91495;-43.18232;2;1.0;0.0;2.0;269.0;859.0;115.0;0.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;8;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
191;0;3.0;-22.96959;-43.18886;3;1.0;1.0;2.0;248.0;0.0;0.0;100.0;3;99.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;28;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
192;0;2.0;-22.94289;-43.19204;5;1.5;2.0;3.0;324.0;407.0;305.0;118.0;2;100.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;48;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
194;1;1.0;-22.91523;-43.18127;3;1.0;1.0;2.0;100.0;500.0;80.0;70.0;2;97.0;10.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;26;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
199;0;2.0;-22.93836;-43.20522;5;2.0;1.0;2.0;227.0;1317.0;229.0;74.0;4;95.0;10.0;9.0;10.0;10.0;9.0;9.0;0;0;2020;4;37;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1
203;0;7.0;-22.9684;-43.18209;2;1.0;1.0;2.0;181.0;500.0;80.0;50.0;3;84.0;10.0;8.0;10.0;10.0;10.0;9.0;1;0;2020;4;26;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
204;0;10.0;-22.98377;-43.20067;4;1.5;1.0;2.0;158.0;950.0;150.0;50.0;2;95.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;37;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
205;0;1.0;-22.88177;-43.49129;2;1.0;1.0;1.0;32.0;480.0;0.0;45.0;1;90.0;8.0;6.0;9.0;10.0;6.0;9.0;0;0;2020;4;14;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0
208;0;2.0;-22.98649;-43.19793;2;1.0;1.0;2.0;148.0;600.0;140.0;180.0;3;92.0;9.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;21;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
210;0;3.0;-22.97916;-43.22686;3;1.0;1.0;2.0;218.0;997.0;236.0;118.0;4;82.0;9.0;8.0;9.0;8.0;9.0;8.0;0;0;2020;4;20;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
212;0;2.0;-22.96904;-43.18197;6;3.0;3.0;3.0;580.0;1265.0;448.0;0.0;3;100.0;10.0;9.0;10.0;10.0;10.0;10.0;0;0;2020;4;17;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
215;0;3.0;-22.92464;-43.19156;2;2.0;1.0;1.0;425.0;2658.0;106.0;0.0;2;99.0;10.0;10.0;10.0;9.0;9.0;9.0;0;0;2020;4;17;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0
217;1;8.0;-22.98531;-43.20082;2;1.0;1.0;1.0;311.0;0.0;158.0;53.0;4;99.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;24;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
